Untitled,Pronunciation,Part of speech,English
cliaelleaunn,/ˈclalaʊnˠ/,nf.,quark
clia,/cla/,nnt.,theater
cliaß,/clasˠ/,nm.,machine
clioelbót,/ˈclɔlbʲoːtˠ/,nnt.,tray
clio,/clɔ/,adj.,exact
clio,/clɔ/,adj.,precise
cliualliaunn,/ˈcluə̯laʊnˠ/,nf.,pearl
cliuigéir,/ˈclʊgeːiɾ/ [ˈclʊgeːɾ],nm.,academy
cliuin,/clʊɲ/,nnt.,ability
cliueneann,/clʊˈɲəunˠ/,v.,become (change into)
cliumm,/clʊmˠ/,adj.,evident
cli,/clɪ/,nnt.,intervention
cleagann,/ˈclaɟanˠ/,v.,suck
cleazaíonn,/ˈclaʦaˌiːɔnˠ/ [ˈclaʦiːnˠ],v.,interrogate
cleang,/cləu̯ŋ/,nnt.,unit
cleann,/clanˠ/,v.,scream
cleansann,/claŋˈsˠanˠ/,v.,illustrate
cleaíonn,/ˈclaiːɔnˠ/ [cliːnˠ],v.,isolate
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,have
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,take
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,grab
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,carry
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,steal
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,seize
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,earn
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,hire
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,remove
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,deprive
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,take away
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,rent
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,own
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,possess
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,clutch
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,grasp
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,grip
cleapsíonn,/ˈcləu̯pʲʃiːɔnˠ/ [ˈcləu̯pʲʃiːnˠ],v.,abolish
clenín,/cleˈɲiːnʲ/,nm.,disk
cleobhann,/ˈclevˠanˠ/ [ˈclewanˠ],v.,multiply
cleonn,/clɔnˠ/,v.,grow up
cleunf,/clenˠfˠ/,adj.,late
clesí,/cleˈʃiː/,nf.,ally
cle,/cle/,adj.,obscure
cleps,/clepʲʃ/,adj.,dumb (speechless)
clepíonn,/cleˈpʲiːɔnˠ/ [cleˈpʲiːnˠ],v.,tremble
clodzaíonn,/ˈkɫɔdˠʦaˌiːɔnˠ/ [ˈkɫɔdˠʦiːnˠ],v.,reach
cloemh,/kɫemʲ/,nnt.,mouth
cloemhpfeann,/ˈkɫɔmʲpʲfʲəunˠ/,v.,ask (request)
cloemhpfeann,/ˈkɫɔmʲpʲfʲəunˠ/,v.,order
cloesí,/ˈkɫɔʃiː/,nf.,worker
cloesí,/ˈkɫɔʃiː/,nf.,employee
clonn,/kɫɔnˠ/,prep.,during
clöcllä,/ˈkɫøːclɛː/,adj.,internal
clönóir,/ˈkɫøːnʲoːiɾ/ [ˈkɫøːnʲoːɾ],nm.,lettuce
clö,/kɫøː/,adj.,antique
clöpsán,/cløːpˠˈsˠæːnʲ/,nm.,explanation
cluabllép,/ˈkɫuə̯bʲleːpˠ/,nnt.,rust
cluiamhóir,/ˈkɫɪmˠoːiɾ/ [ˈkɫɪmˠoːɾ],nm.,astronomy
cluin,/kɫʊɲ/,adj.,different
cluin,/kɫʊɲ/,adj.,various
clurann,/ˈkɫʊʁanˠ/,v.,remind
cluptán,/ˈkɫʊpˠtˠæːnʲ/,nm.,mail
clüdh,/clʏːvˠ/,nm.,meeting
clügéir,/ˈclʏːgeːiɾ/ [ˈclʏːgeːɾ],nm.,ear
clüzueuig,/ˈkɫʏːʦɔʏg/,nf.,cylinder
clünsír,/clʏːɲˈʃiːɾ/,nf.,total
clü,/kɫʏː/,nnt.,mule
cládiaireuig,/ˈkɫæːdʲaˌɾɔʏg/,nf.,wound
clárzaíonn,/ˈclæːʁʦaˌiːɔnˠ/ [ˈclæːʁʦiːnˠ],v.,bluff
clát,/kɫæːtˠ/,prep.,by (using the means of)
clé,/cleː/,adj.,evil
clíneann,/ˈcliːɲəunˠ/,v.,whisper
clíseann,/cliːˈʃəunˠ/,v.,reveal
clíseann,/cliːˈʃəunˠ/,v.,expose
clíseann,/cliːˈʃəunˠ/,v.,uncover
clí,/kɫiː/,det.,no
clónüneaíonn,/ˈkɫoːnˠʏːˌɲaiːɔnˠ/ [ˈkɫoːnˠʏːɲiːnˠ],v.,halt
clónüneaíonn,/ˈkɫoːnˠʏːˌɲaiːɔnˠ/ [ˈkɫoːnˠʏːɲiːnˠ],v.,stall
clónüneaíonn,/ˈkɫoːnˠʏːˌɲaiːɔnˠ/ [ˈkɫoːnˠʏːɲiːnˠ],v.,paralyze
clórzann,/ˈkɫoːʁʦanˠ/,v.,write
clóst,/cloːsˠtˠ/,nnt.,resort
clóst,/cloːsˠtˠ/,nnt.,sanctuary
clóp,/cloːpˠ/,nm.,suggestion
clúdh,/kɫuːvˠ/,nm.,urge
clúbhóir,/kɫuːˈvʲoːiɾ/ [kɫuːˈvʲoːɾ],nm.,sky
clúg,/cluːɟ/,nm.,panorama
clúzóz,/ˈkɫuːʦoːʦ/,adj.,vicious
clúzóz,/ˈkɫuːʦoːʦ/,adj.,cruel
clúmm,/cluːmˠ/,nm.,rival
clúsí,/ˈkɫuːʃiː/,nf.,knowledge
cechíonn,/ˈceçiːɔnˠ/ [ˈceçiːnˠ],v.,terminate
ceaicheuilín,/cəˈuçʊˌliːnʲ/,nf.,girl
ceainfán,/ˈcanʲfʲæːnʲ/,nm.,couple
ceaempfeann,/camʲpʲˈfʲəunˠ/,v.,envision
ceaeste,/ˈcaʃtʲe/,nm.,exam
ceanann,/ˈceŋanˠ/,v.,sweep
ceapann,/ˈcepˠanˠ/,v.,polish
ceir,/caɪ̯ʁ/,adj.,dead
cempf,/cemʲpʲfʲ/,nnt.,ruler
ceneueg,/ˈceɲɔʏg/,nf.,lion
cenín,/ceˈɲiːnʲ/,nm.,season (quarter of the year)
ceozönóir,/ˈcɔʦøːˌɲoːiɾ/ [ˈcɔʦøːɲoːɾ],nm.,option
ceostoeg,/ˈcɔsˠtˠɔg/,nnt.,posture (bodily position)
ceot,/cɔtˠ/,nnt.,patron
ceuarög,/ˈcuə̯ɾøːg/,nf.,post
ceua,/cuə̯/,adj.,abundant
ceua,/cuə̯/,adj.,lush
ceua,/cuə̯/,adj.,fertile
ceubhann,/ˈcɔʏ̯vˠanˠ/ [ˈcɔʏ̯wanˠ],v.,teach
ceubhann,/ˈcɔʏ̯vˠanˠ/ [ˈcɔʏ̯wanˠ],v.,coach
ceugí,/ˈcʊɟiː/,nnt.,carpet
ceugí,/ˈcʊɟiː/,nnt.,rug
ceuep,/cʊpʲ/,nnt.,village
ceuep,/cʊpʲ/,nnt.,suburb
ceung,/cɔʏ̯ŋ/,prep.,versus
ceusí,/ˈcɔʏ̯ʃiː/,nf.,view
cocuagíonn,/kɔˈkuə̯giːˌɔnˠ/ [kɔˈkuə̯giːnˠ],v.,notice
cob,/kɔbˠ/,nm.,camel
cog,/kɔɟ/,prep.,beside
coibheann,/kɔˈvʲəunˠ/,v.,cater
coilíonn,/ˈkɔliːɔnˠ/ [ˈkɔliːnˠ],v.,consolidate
coins,/kɔɲʃ/,adj.,bad
coins,/kɔɲʃ/,adj.,evil
coireann,/ˈkɪɾəunˠ/,v.,brace
coiugúir,/ˈkɪɟuːiɾ/ [ˈkɪɟuːɾ],nm.,dirt
coiull,/kɪɫ/,nm.,house
coiull,/kɪɫ/,nm.,tribe
collzán,/ˈkɔɫʦæːnʲ/,nm.,erection
coegeachúir,/ˈkegeˌxuːiɾ/ [ˈkegexuːɾ],nm.,seat
coeichaíonn,/ˈkaɪ̯xaˌiːɔnˠ/ [ˈkaɪ̯xiːnˠ],v.,rally
coeig,/kaɪ̯ɟ/,nm.,footpath
coeiliaunn,/ˈkaɪ̯laʊnˠ/,nf.,petal
coeinsúrtúir,/ˈkaɪ̯nˠsˠuːɾˌtʲuːiɾ/ [ˈkaɪ̯nˠsˠuːɾtʲuːɾ],nm.,citadel
coeogueueg,/ˈkeɟɔʏg/,nf.,lamb
coeonsaíonn,/ˈkenˠsˠaˌiːɔnˠ/ [ˈkenˠsˠiːnˠ],v.,bid
coeucäpaeueg,/keˈkɛːpˠɔˌʏg/,nf.,trunk (of tree)
coeu,/kɔʏ̯/,adj.,similar
coeupúir,/keˈpˠuːiɾ/ [keˈpˠuːɾ],nm.,tribe
coeuß,/kɔʏ̯sˠsˠ/,nnt.,sleep
coetán,/ˈketʲæːnʲ/,nm.,present
coetán,/ˈketʲæːnʲ/,nm.,gift
coe,/ke/,adv.,too
comann,/kɔˈmˠanˠ/,v.,assign
comann,/kɔˈmˠanˠ/,v.,elect
conn,/kɔnˠ/,v.,abuse
co,/kɔ/,adj.,white
co,/kɔ/,adj.,blank
co,/kɔ/,adj.,clear
cöcú,/ˈkøːcuː/,nnt.,territory
cögann,/ˈkøːɟanˠ/,v.,erase
cömpfeann,/køːmʲpʲˈfʲəunˠ/,v.,mutate
cönn,/cøːnˠ/,nnt.,policy
cöns,/køːɲʃ/,adj.,big
cöns,/køːɲʃ/,adj.,large
cöns,/køːɲʃ/,adj.,popular
cöste,/ˈkøːʃtʲe/,nm.,compound
cö,/køː/,adj.,important
cößann,/køːsˠˈsˠanˠ/,v.,dismantle
craif,/kʁafʲ/,nnt.,fingerprint
craiotóir,/kʁɪˈtˠoːiɾ/ [kʁɪˈtˠoːɾ],nm.,output
craiupfann,/ˈkʁɪpˠfˠanˠ/,v.,rise
craiupfann,/ˈkʁɪpˠfˠanˠ/,v.,lift
crazaíonn,/ˈkʁaʦaˌiːɔnˠ/ [ˈkʁaʦiːnˠ],v.,ask (inquire)
craeu,/kʁɔʏ̯/,nnt.,driver
craes,/kʁaʃ/,nnt.,wedding
cransann,/kʁaŋˈsˠanˠ/,v.,put on
cranír,/kʁaˈnˠiːɾ/,nf.,land
craurtíonn,/ˈkʁaʊ̯ɾtʲiːɔnˠ/ [ˈkʁaʊ̯ɾtʲiːnˠ],v.,manifest
craíonn,/kʁaˈiːɔnˠ/ [kʁiːnˠ],v.,be (located)
craíonn,/ˈkʁaiːɔnˠ/ [kʁiːnˠ],v.,wiggle
cräléir,/ˈkʁɛːɫeːiɾ/ [ˈkʁɛːɫeːɾ],nm.,lobster
criachín,/ˈcɾaxiːnʲ/,nm.,cane
criaichtéir,/cɾaçˈtʲeːiɾ/ [cɾaçˈtʲeːɾ],nm.,kid
criainfíonn,/cɾanʲˈfʲiːɔnˠ/ [cɾanʲˈfʲiːnˠ],v.,send
criairír,/ˈcɾaɾiːɾ/,nf.,charity
cria,/cɾa/,adj.,blue
cria,/cɾa/,adj.,dark blue
criaíonn,/cɾaˈiːɔnˠ/ [cɾiːnˠ],v.,excite
crioilliurz,/cɾɔˈlʊʁʦ/,nnt.,puppy
crioestán,/ˈcɾɔʃtʲæːnʲ/,nm.,turtle
criorzann,/ˈcɾɔʁʦanˠ/,v.,burn
criucí,/ˈcɾʊkiː/,nnt.,dart
criueg,/cɾʊg/,adj.,definite
creaboigíonn,/ˈcɾabˠɪˌgiːɔnˠ/ [ˈcɾabˠɪgiːnˠ],v.,rub
creaboigíonn,/ˈcɾabˠɪˌgiːɔnˠ/ [ˈcɾabˠɪgiːnˠ],v.,stroke
creair,/cɾaɾ/,adv.,maybe
creair,/cɾaɾ/,adv.,perhaps
creamm,/cɾemˠ/,prep.,for each
creann,/cɾanˠ/,v.,figure out
creau,/cɾaʊ̯/,nnt.,wit
creauptaíonn,/cɾaʊ̯pˠˈtˠaiːˌɔnˠ/ [cɾaʊ̯pˠˈtˠiːnˠ],v.,discharge
crea,/cɾəu̯/,nnt.,neighbor
crein,/cɾaɪ̯ɲ/,nnt.,concrete
creofann,/ˈcɾɔfˠanˠ/,v.,deny
creoichtíonn,/ˈcɾɔçtʲiːɔnˠ/ [ˈcɾɔçtʲiːnˠ],v.,drench
creoichtíonn,/ˈcɾɔçtʲiːɔnˠ/ [ˈcɾɔçtʲiːnˠ],v.,flush
creoizíonn,/ˈcɾɔʒiːɔnˠ/ [ˈcɾɔʒiːnˠ],v.,radiate
creoeps,/cɾɔpʲʃ/,adj.,beautiful
creoeps,/cɾɔpʲʃ/,adj.,pretty
creomóir,/ˈcɾɔmˠoːiɾ/ [ˈcɾɔmˠoːɾ],nm.,appearance (act of appearing)
creonn,/cɾɔnˠ/,nm.,plasma
creorzín,/ˈcɾɔʁʦiːnʲ/,nm.,program
creuareann,/ˈcɾuə̯ɾəunˠ/,v.,reinforce
creubrueufín,/ˈcɾʊbˠʁefˠiːnʲ/,nm.,analogy
creuzaíonn,/ˈcɾʊʦaˌiːɔnˠ/ [ˈcɾʊʦiːnˠ],v.,include
creu,/cɾʊ/,adj.,aroused (sexually)
cre,/cɾe/,nnt.,hat
crepóir,/ˈcɾepʲoːiɾ/ [ˈcɾepʲoːɾ],nm.,family (related by blood)
croig,/kʁɔg/,adj.,messy
croin,/kʁɪnʲ/,adj.,deaf
croipsír,/ˈkʁɔpʲʃiːɾ/,nf.,militia
croz,/kʁɔʦ/,nnt.,music
croens,/kʁɔnʲʃ/,nnt.,disaster
croens,/kʁɔnʲʃ/,nnt.,accident
croeogann,/kʁeˈɟanˠ/,v.,chop
croeogann,/kʁeˈɟanˠ/,v.,slash
cröhä,/ˈkʁøːhɛː/,nnt.,echo
crölín,/ˈcɾøːliːnʲ/,nf.,load
cröng,/kʁøːŋ/,nnt.,reception (of office or hotel)
crördéir,/cɾøːʁˈdˠeːiɾ/ [cɾøːʁˈdˠeːɾ],nm.,idiot
crördéir,/cɾøːʁˈdˠeːiɾ/ [cɾøːʁˈdˠeːɾ],nm.,fool
crö,/cɾøː/,adj.,amazing
crö,/kʁøː/,nnt.,angle
crö,/kʁøː/,nnt.,corner
crua,/kʁuə̯/,adj.,dull
crua,/kʁuə̯/,adj.,dim
cruimh,/kʁɪmʲ/,adj.,earnest
crulzán,/ˈkʁʊɫʦæːnʲ/,nm.,cliff
crueichíonn,/ˈkʁaɪ̯çiːɔnˠ/ [ˈkʁaɪ̯çiːnˠ],v.,distinguish
cruelín,/ˈkʁʊliːnʲ/,nf.,ship
crueodzúir,/ˈkʁedˠʦuːiɾ/ [ˈkʁedˠʦuːɾ],nm.,officer
crunsín,/ˈkʁʊnˠsˠiːnʲ/,nm.,lid
crücht,/cɾʏːxtˠ/,nm.,mask
crü,/kʁʏː/,prep.,onto
cránéir,/ˈcɾæːŋeːiɾ/ [ˈcɾæːŋeːɾ],nm.,oxygen
crástög,/ˈkʁæːʃtʲøːg/,nf.,clock
crá,/cɾæː/,nnt.,eyelid
crézeann,/cɾeːˈʒəunˠ/,v.,show off
créll,/cɾeːɫ/,nnt.,picture
créll,/cɾeːɫ/,nnt.,image
créll,/cɾeːɫ/,nnt.,appearance (looks)
crém,/cɾeːmʲ/,conj.,because
créstéir,/cɾeːsˠˈtˠeːiɾ/ [cɾeːsˠˈtˠeːɾ],nm.,robe
créstéir,/cɾeːsˠˈtˠeːiɾ/ [cɾeːsˠˈtˠeːɾ],nm.,gown
críonn,/ˈcɾiːɔnˠ/ [cɾiːnˠ],v.,follow
cró,/cɾoː/,prep.,with (using)
crópseann,/ˈcɾoːpʲʃəunˠ/,v.,laugh
crópseann,/ˈcɾoːpʲʃəunˠ/,v.,giggle
crúguanfög,/kʁuːˈɟuə̯nʲfʲøːg/,nf.,wire
crúgín,/kʁuːˈgiːnʲ/,nm.,novel
crúmhpiann,/ˈcɾuːmʲpʲanˠ/,v.,fire (detonate weapon)
crúste,/ˈkʁuːʃtʲe/,nm.,challenge
crú,/kʁuː/,adv.,thus
cuachéir,/ˈkuə̯çeːiɾ/ [ˈkuə̯çeːɾ],nm.,cigar
cuadz,/kuə̯dˠʦ/,pron.,what
cuag,/kuə̯ɟ/,adj.,automatic
cuamm,/kuə̯mˠ/,adj.,distinct
cuasír,/kuə̯ˈsˠiːɾ/,nf.,priest
cuasí,/kuə̯ˈʃiː/,nf.,luxury
cua,/kuə̯/,nnt.,glacier
cuapann,/ˈkuə̯pˠanˠ/,v.,squat
cugllaíonn,/kʊɟˈɫaiːˌɔnˠ/ [kʊɟˈɫiːnˠ],v.,harm
cuimh,/kɪmʲ/,nnt.,vent
cuinín,/ˈkɪɲiːnʲ/,nm.,cloud
cuecht,/keçtʲ/,adj.,rich
cueafio,/ˈkəu̯fʲɔ/,nnt.,conference
cueidzeann,/kaɪ̯dʲˈʒəunˠ/,v.,patrol
cuei,/kaɪ̯/,nnt.,organization
cueipóir,/ˈkaɪ̯pˠoːiɾ/ [ˈkaɪ̯pˠoːɾ],nm.,choice
cuel,/kʊl/,adj.,sharp
cueuc,/kek/,nm.,nitrogen
cueuno,/ˈkenˠɔ/,nnt.,room (of house)
cuest,/keʃtʲ/,det.,each
cuesíonn,/keˈʃiːɔnˠ/ [keˈʃiːnˠ],v.,scratch
cunstaubair,/ˈkʊnˠsˠtˠaˌʊbˠaɾ/,nf.,craft
cunst,/kʊnˠsˠtˠ/,nnt.,art
cu,/kʊ/,nnt.,virgin
cüch,/kʏːx/,nm.,orbit
cügín,/ˈcʏːɟiːnʲ/,nm.,hangover
cülleann,/kʏːˈləunˠ/,v.,speculate
cünann,/ˈkʏːŋanˠ/,v.,present
cünaíonn,/cʏːˈŋaiːˌɔnˠ/ [cʏːˈŋiːnˠ],v.,intercept
cüng,/kʏːŋ/,pron.,something
cünoeuig,/ˈkʏːŋɔʏg/,nf.,portion
cün,/cʏːɲ/,nnt.,mast
cür,/cʏːɾ/,adj.,blind
cüsí,/ˈkʏːʃiː/,nf.,crack
cüsí,/ˈcʏːʃiː/,nf.,veteran
cüpf,/kʏːpʲfʲ/,nnt.,attic
cüß,/kʏːsˠsˠ/,adj.,risky
cáfög,/ˈkæːfʲøːg/,nf.,drawing
cáf,/cæːfˠ/,adj.,nuclear
cáchtög,/ˈkæːxtˠøːg/,nf.,platter
cáchéir,/ˈkæːxeːiɾ/ [ˈkæːxeːɾ],nm.,student
cáhrínsann,/kæːˈhɾiːnˠsˠanˠ/,v.,squeeze
cáhrínsann,/kæːˈhɾiːnˠsˠanˠ/,v.,clutch
cámúir,/kæːˈmʲuːiɾ/ [kæːˈmʲuːɾ],nm.,interview
cán,/kæːɲ/,nnt.,test
cástóir,/ˈkæːsˠtˠoːiɾ/ [ˈkæːsˠtˠoːɾ],nm.,strand
céf,/keːfˠ/,nm.,lip
cégliaunär,/ˈkeːglaˌʊnˠɛːɾ/,nm.,secret
cégliaunär,/ˈkeːglaˌʊnˠɛːɾ/,nm.,mystery
cégóir,/ˈkeːgoːiɾ/ [ˈkeːgoːɾ],nm.,stereotype
cél,/ceːl/,adv.,where
célúir,/ˈkeːɫuːiɾ/ [ˈkeːɫuːɾ],nm.,archive
céróir,/keːˈʁoːiɾ/ [keːˈʁoːɾ],nm.,honey
cé,/keː/,nnt.,outcome
céß,/keːsˠ/,nnt.,dragon
cíchín,/ˈkiːxiːnʲ/,nm.,research
cíchín,/ciːˈçiːnʲ/,nm.,skeptic
cíc,/ciːk/,nm.,inn
cíd,/kiːdˠ/,nm.,position (location)
cízaíonn,/kiːˈʦaiːˌɔnˠ/ [kiːˈʦiːnˠ],v.,vindicate
cílíonn,/ˈkiːliːɔnˠ/ [ˈkiːliːnˠ],v.,smile
cílíonn,/ˈkiːliːɔnˠ/ [ˈkiːliːnˠ],v.,smirk
cím,/kiːmʲ/,nnt.,sun
cím,/kiːmʲ/,nnt.,day
címéir,/kiːˈmʲeːiɾ/ [kiːˈmʲeːɾ],nm.,anchor
cínír,/kiːˈɲiːɾ/,nf.,volume
cíonn,/ˈkiːɔnˠ/ [kiːnˠ],v.,add
círdeann,/ciːɾˈdʲəunˠ/,v.,disturb
círdeann,/ciːɾˈdʲəunˠ/,v.,disrupt
cír,/kiːʁ/,nnt.,mansion
cí,/ciː/,adv.,far
cí,/kiː/,nnt.,member
cóchteaíonn,/ˈkoːçtʲaˌiːɔnˠ/ [ˈkoːçtʲiːnˠ],v.,retire
cólleaunn,/ˈcoːlaʊnˠ/,nf.,top (clothing)
cónféir,/koːnˠˈfˠeːiɾ/ [koːnˠˈfˠeːɾ],nm.,hammer
cóniupann,/ˈkoːɲʊpˠanˠ/,v.,dance
córír,/ˈcoːʁiːɾ/,nf.,bureaucrat
cótíonn,/ˈkoːtʲiːɔnˠ/ [ˈkoːtʲiːnˠ],v.,sustain
có,/koː/,nnt.,coffin
có,/coː/,nnt.,switch
cóps,/koːpˠsˠ/,adj.,painful
cópéir,/ˈkoːpˠeːiɾ/ [ˈkoːpˠeːɾ],nm.,plaque
cúchann,/ˈkuːxanˠ/,v.,ban
cúchann,/ˈkuːxanˠ/,v.,prohibit
cúcheueg,/ˈkuːçɔʏg/,nf.,threat
cúch,/cuːx/,nm.,animal
cúch,/cuːx/,nm.,pet
cúch,/kuːç/,nnt.,pasta
cúbheolzaíonn,/ˈkuːvʲɔɫˌʦaiːɔnˠ/ [ˈkuːvʲɔɫʦiːnˠ],v.,record
cúbheolzaíonn,/ˈkuːvʲɔɫˌʦaiːɔnˠ/ [ˈkuːvʲɔɫʦiːnˠ],v.,register
cúz,/cuːʒ/,nnt.,gravel
cúlaíonn,/kuːˈɫaiːˌɔnˠ/ [kuːˈɫiːnˠ],v.,install
cúliaunn,/ˈcuːlaʊnˠ/,nf.,bit
cúll,/kuːl/,adj.,basic
cúng,/cuːŋ/,nnt.,rod
cúng,/cuːŋ/,nnt.,shaft
cúng,/cuːŋ/,nnt.,bar
cúng,/cuːŋ/,nnt.,pole
cúng,/cuːŋ/,nnt.,arm
cúng,/cuːŋ/,nnt.,stick
cúng,/cuːŋ/,nnt.,axle
cúníonn,/kuːˈɲiːɔnˠ/ [kuːˈɲiːnˠ],v.,blast
cúste,/cuːʃˈtʲe/,nm.,array
cúsí,/kuːˈʃiː/,nf.,beer
cú,/kuː/,adj.,subtle
cúps,/kuːpˠsˠ/,adj.,drunk (inebriated)
cúpégúir,/ˈkuːpʲeːˌguːiɾ/ [ˈkuːpʲeːguːɾ],nm.,raft
dacub,/dˠaˈkʊbˠ/,nm.,volcano
daisí,/ˈdˠaʃiː/,nf.,permission
dai,/dˠɪ/,adv.,suddenly
daips,/dˠapʲʃ/,nnt.,hag (old woman)
daechéir,/ˈdˠaçeːiɾ/ [ˈdˠaçeːɾ],nm.,coin
daelleann,/ˈdˠeləunˠ/,v.,roar
daem,/dˠemʲ/,adj.,delicious
daeuróir,/ˈdˠɔʏ̯ɾoːiɾ/ [ˈdˠɔʏ̯ɾoːɾ],nm.,change
daoibh,/ˈdʲɔɪvʲ/,pron.,to y'all
daoibh,/ˈdʲɔɪvʲ/,pron.,to you all (masc)
daoibh,/ˈdʲɔɪvʲ/,pron.,to y'all
daoibh,/ˈdʲɔɪvʲ/,pron.,to you all (masc)
daoimh,/dʲɔˈɪvʲ/,pron.,to y'all
daoimh,/dʲɔˈɪvʲ/,pron.,to you all (fem)
daoimh,/dʲɔˈɪvʲ/,pron.,to y'all
daoimh,/dʲɔˈɪvʲ/,pron.,to you all (fem)
dar,/dˠaʁ/,nnt.,block
dauz,/ˈdˠaʊʦ/,det.,that
dauz,/ˈdˠaʊʦ/,pron.,that
dausán,/dˠaʊ̯ˈsˠæːnʲ/,nm.,leisure
da,/dˠa/,adj.,long
da,/dˠaː/,pron.,you
daíonn,/ˈdˠaiːɔnˠ/ [dˠiːnˠ],v.,bring
däd,/dʲɛːdˠ/,nm.,illusion
dämhín,/ˈdˠɛːmʲiːnʲ/,nm.,reservation
dänann,/ˈdˠɛːŋanˠ/,v.,extract
dänann,/ˈdˠɛːŋanˠ/,v.,reap
däst,/dʲɛːsˠtˠ/,nnt.,survey
däsí,/ˈdʲɛːʃiː/,nf.,linen
dä,/dʲɛː/,adj.,shy
dä,/dʲɛː/,adj.,reluctant
dhez,/vʲeʒ/,pron.,whomst
dher,/vʲeɾ/,pron.,whose
diaibhíonn,/ˈdʲavʲiːɔnˠ/ [ˈdʲavʲiːnˠ],v.,feign
diaenseann,/ˈdʲaɲʃəunˠ/,v.,push
diaenseann,/ˈdʲaɲʃəunˠ/,v.,shove
diaenseann,/ˈdʲaɲʃəunˠ/,v.,shift
diaensúir,/ˈdʲanʲʃuːiɾ/ [ˈdʲanʲʃuːɾ],nm.,square
diaen,/dʲanʲ/,nnt.,spinach
diaes,/dʲaʃ/,adj.,thermal
dianaíonn,/ˈdʲɪŋaˌiːɔnˠ/ [ˈdʲɪŋiːnˠ],v.,shuffle
dianaíonn,/ˈdʲɪŋaˌiːɔnˠ/ [ˈdʲɪŋiːnˠ],v.,shift
dia,/dʲa/,adj.,even
dia,/dʲa/,adj.,equal
dia,/dʲa/,adj.,equivalent
diaíonn,/ˈdʲaiːɔnˠ/ [dʲiːnˠ],v.,make
diaíonn,/ˈdʲaiːɔnˠ/ [dʲiːnˠ],v.,prepare
diaíonn,/ˈdʲaiːɔnˠ/ [dʲiːnˠ],v.,earn
diaíonn,/ˈdʲaiːɔnˠ/ [dʲiːnˠ],v.,compel
diz,/dʲɪʒ/,det.,those
diz,/dʲɪʒ/,pron.,those
diofann,/dʲɔˈfˠanˠ/,v.,lure
dioeleaunn,/ˈdʲɔlaʊnˠ/,nf.,algorithm
diuang,/dʲuə̯ŋ/,adj.,hot
diuecht,/dʲʊçtʲ/,det.,same
diuepähézóir,/dʲʊˈpʲɛːheːˌʦoːiɾ/ [dʲʊˈpʲɛːheːˌʦoːɾ],nm.,half
diußann,/dʲʊˈsˠanˠ/,v.,repeat
disí,/ˈdʲɪʃiː/,nf.,fat (component in food)
deazoiptán,/ˈdʲaʦɪpʲtʲæːnʲ/,nm.,pen
deamán,/dʲaˈmˠæːnʲ/,nm.,wolf
deann,/dʲanˠ/,v.,fetch
deann,/dʲanˠ/,v.,earn
dea,/dʲəu̯/,adj.,certain
deich,/ˈdʲaɪç/,pron.,your
deich,/ˈdʲaɪç/,pron.,yours
deips,/dʲaɪ̯pʲʃ/,adj.,oral
den,/dʲenʲ/,det.,the
den,/dʲenʲ/,det.,of
den,/dʲenʲ/,det.,of the
den,/dʲenʲ/,det.,of
den,/dʲenʲ/,det.,of the
den,/dʲenʲ/,det.,of
den,/dʲenʲ/,det.,of the
den,/dʲenʲ/,det.,of,of the
deogllösíonn,/ˈdʲeɟɫøːˌʃiːɔnˠ/ [ˈdʲeɟɫøːʃiːnˠ],v.,avoid
